13,24,35,44,69,1
10,35,38,39,40,23
3,6,23,30,53,4
5,11,26,42,67,15
23,31,51,52,63,24
2,35,61,66,70,22
6,20,27,37,58,8
3,8,28,57,69,1
27,28,35,37,66,19
5,7,31,35,60,15
40,42,56,60,63,8
8,17,35,40,52,19
14,33,57,59,63,8
14,24,35,54,65,16
12,24,45,50,66,9
7,29,33,38,55,24
28,30,51,64,66,24
9,27,39,45,50,22
9,27,40,64,66,6
39,46,49,61,68,8
4,18,23,51,57,3
10,51,57,59,69,2
8,12,22,47,63,5
14,35,41,62,66,3
5,13,38,39,54,20
6,18,24,49,64,19
1,3,51,65,67,15
10,23,26,40,64,20
3,8,18,46,69,23
30,31,55,59,61,1
1,23,37,53,58,13
27,32,36,37,67,10
24,31,33,46,52,9
3,21,31,38,52,7
9,18,41,43,66,3
3,7,32,64,70,15
26,29,48,55,66,3
10,20,38,42,66,14
6,7,11,50,57,6
22,33,38,39,57,12
33,46,57,64,68,5
33,45,47,64,65,19
14,16,17,20,54,17
13,19,29,53,60,25
16,36,38,42,55,19
25,40,48,51,68,22
9,32,36,65,68,19
11,46,58,62,65,10
16,23,35,61,66,8
4,12,27,37,60,8
15,23,28,38,65,9
1,4,5,17,62,6
12,30,39,53,59,24
17,19,27,43,66,6
3,18,41,48,61,25
6,18,35,37,39,13
1,29,31,37,42,12
6,13,45,53,67,1
19,43,63,67,69,17
10,33,41,59,66,23
25,36,44,45,57,5
24,35,41,53,60,17
7,22,27,42,44,2
6,25,44,50,53,13
3,25,33,51,62,3
4,14,43,54,59,8
21,23,30,35,68,5
15,20,23,27,49,13
4,9,23,40,70,11
22,23,36,45,63,4
5,22,29,49,68,25
12,16,46,54,60,9
7,21,27,44,70,12
4,13,28,31,60,20
4,8,31,38,39,17
17,25,35,40,55,22
2,39,63,67,68,13
5,27,32,48,62,19
16,47,59,65,67,8
24,42,47,50,65,2
5,27,30,37,40,20
1,2,31,36,53,5
2,39,46,57,70,4
7,38,56,66,70,25
5,20,28,55,70,5
4,14,45,46,49,17
9,22,28,40,59,3
6,35,53,60,62,14
9,13,23,32,34,1
33,37,51,62,63,19
2,11,35,45,48,19
13,29,33,46,65,12
18,20,48,62,64,13
24,27,50,60,66,1
27,29,30,44,51,17
5,39,54,55,70,11
3,29,40,47,53,11
4,24,27,41,55,16
10,17,19,51,52,10
1,5,9,19,23,13
9,17,24,47,64,11
14,39,43,56,68,12
24,29,34,52,70,4
